,year,instances,totargs,totedges,density,totlayers,totsccs,totntsccs,avgntsize,maxsccsize
19,2015,2015/testset7_scc_small/67150__185_93__0_2_200__1061677976.tgf,185,875,0.0255661,16,93,55,2.67273,9
20,2015,2015/testset7_scc_small/67628__291_89__0_1_30__-246384798.tgf,291,2151,0.0254012,28,89,67,4.01493,11
21,2015,2015/testset7_scc_small/70292__374_23__0_1_10__-2122175794.tgf,374,4998,0.0357316,9,23,23,16.2609,23
22,2015,2015/testset7_scc_small/82512__381_23__0_1_2__691831635.tgf,381,5583,0.0384607,13,23,23,16.5652,24
23,2015,2015/testset7_scc_small/85888__366_28__0_3_28__1701112791.tgf,366,4566,0.0340858,11,28,28,13.0714,23
24,2015,2015/testset2_gr_medium/g_171985__2219__1_1_1__1463560817.tgf,2219,49363,0.0100251,3,497,1,1723.0,1723
25,2015,2015/testset2_gr_medium/g_179080__2838__1_1_1__924555467.tgf,2838,80423,0.00998517,3,390,1,2449.0,2449
26,2015,2015/testset2_gr_medium/g_1969886__3896__1_1_1__407768342.tgf,3896,151631,0.00998965,3,568,1,3329.0,3329
27,2015,2015/testset2_gr_medium/g_1977497__4459__1_1_1__193203519.tgf,4459,198869,0.0100021,3,387,1,4073.0,4073
28,2015,2015/testset2_gr_medium/g_2002351__4827__1_1_1__520355813.tgf,4827,232221,0.0099666,3,560,1,4268.0,4268
29,2015,2015/testset2_gr_medium/g_2036748__4685__1_1_1__764816800.tgf,4685,218638,0.00996108,3,548,1,4138.0,4138
30,2015,2015/testset2_gr_medium/g_207507__2450__1_1_1__826439536.tgf,2450,60103,0.010013,3,343,1,2108.0,2108
31,2015,2015/testset2_gr_medium/g_264197__3005__1_1_1__1585216394.tgf,3005,90595,0.0100326,3,276,1,2730.0,2730
32,2015,2015/testset2_gr_medium/g_265502__2684__1_1_1__1461484505.tgf,2684,72330,0.0100405,3,424,1,2261.0,2261
33,2015,2015/testset2_gr_medium/g_3678842__4959__1_1_1__2055741360.tgf,4959,246124,0.0100084,3,729,1,4231.0,4231
34,2015,2015/testset2_gr_medium/g_4035622__3478__1_1_1__368871344.tgf,3478,121418,0.0100375,3,657,1,2822.0,2822
35,2015,2015/testset2_gr_medium/g_4801850__5900__1_1_1__1507270746.tgf,5900,347209,0.0099744,3,438,1,5463.0,5463
36,2015,2015/testset2_gr_medium/g_5000211__4470__1_1_1__750147053.tgf,4470,200631,0.0100411,3,375,1,4096.0,4096
37,2015,2015/testset2_gr_medium/g_5128808__6017__1_1_1__145329534.tgf,6017,362089,0.0100013,3,572,1,5446.0,5446
38,2015,2015/testset2_gr_medium/g_5749572__6546__1_1_1__1725921591.tgf,6546,429233,0.0100171,3,275,1,6272.0,6272
39,2015,2015/testset2_gr_medium/g_6019610__3955__1_1_1__214137286.tgf,3955,155847,0.00996335,3,228,1,3728.0,3728
40,2015,2015/testset2_gr_medium/g_60552__1945__1_1_1__119920177.tgf,1945,37978,0.0100391,3,302,1,1644.0,1644
41,2015,2015/testset2_gr_medium/g_6197551__5257__1_1_1__808442397.tgf,5257,276165,0.00999293,3,238,1,5020.0,5020
42,2015,2015/testset2_gr_medium/g_70742__1937__1_1_1__1601993606.tgf,1937,37706,0.0100497,3,245,1,1693.0,1693
43,2015,2015/testset2_gr_medium/g_729345__3994__1_1_1__1531626234.tgf,3994,159764,0.0100153,3,190,1,3805.0,3805
44,2015,2015/testset2_gr_medium/g_75150__1152__1_1_1__199409038.tgf,1152,13462,0.0101439,3,260,1,893.0,893
45,2015,2015/testset2_gr_medium/g_759604__3954__1_1_1__1196312685.tgf,3954,156417,0.0100049,3,588,1,3367.0,3367
46,2015,2015/testset2_gr_medium/g_790881__3168__1_1_1__1563089851.tgf,3168,100296,0.0099934,3,247,1,2922.0,2922
47,2015,2015/testset2_gr_medium/g_940038__2085__1_1_1__1707795058.tgf,2085,43487,0.0100034,3,263,1,1823.0,1823
48,2015,2015/testset4_st_small/1135945__141_105__32_40_360__1726661898.tgf,141,387,0.0194658,6,105,23,2.56522,5
49,2015,2015/testset4_st_small/1539728__299__3_3_4__1479392692.tgf,299,4248,0.0475162,2,6,1,294.0,294
50,2015,2015/testset4_st_small/1688016__289__2_2_3__1711063037.tgf,289,4161,0.0498198,2,6,1,284.0,284
51,2015,2015/testset4_st_small/247483__277__0_1_1__505287041.tgf,277,3998,0.0521055,2,6,1,272.0,272
52,2015,2015/testset4_st_small/282426__202__12_12_159__1378687018.tgf,202,507,0.0124253,7,91,5,23.2,101
53,2015,2015/testset4_st_small/291227__286__0_1_1__1230142271.tgf,286,2807,0.0343171,2,4,1,283.0,283
54,2015,2015/testset4_st_small/30907__280__8_8_16__34985402.tgf,280,3671,0.046824,4,24,2,129.0,244
55,2015,2015/testset4_st_small/320028__276__2_2_3__165094759.tgf,276,2619,0.0343809,2,6,1,271.0,271
56,2015,2015/testset4_st_small/339645__291__1_1_2__1421992937.tgf,291,4141,0.0489012,2,6,1,286.0,286
57,2015,2015/testset4_st_small/33993__232__4_4_6__1980143471.tgf,232,3337,0.0619984,2,6,1,227.0,227
58,2015,2015/testset4_st_small/34229__258__5_6_9__1887662229.tgf,258,2508,0.037678,2,6,1,253.0,253
59,2015,2015/testset4_st_small/34508__197__10_10_13__1871307992.tgf,197,2717,0.0700095,2,6,1,192.0,192
60,2015,2015/testset4_st_small/361395__280__7_7_14__1379539997.tgf,280,3998,0.0509949,2,6,1,275.0,275
61,2015,2015/testset4_st_small/44051__300__0_1_1__1566404531.tgf,300,2871,0.0319,2,6,1,295.0,295
62,2015,2015/testset4_st_small/45031__193__0_11_70__219763582.tgf,193,467,0.0125372,3,79,1,115.0,115
63,2015,2015/testset4_st_small/47774__262__0_1_1__1705874969.tgf,262,3765,0.0548482,2,6,1,257.0,257
64,2015,2015/testset4_st_small/510532__292__3_3_5__771820926.tgf,292,2841,0.03332,2,6,1,287.0,287
65,2015,2015/testset4_st_small/51123__246__0_1_1__1607395923.tgf,246,3541,0.0585135,2,6,1,241.0,241
66,2015,2015/testset4_st_small/54571__259__7_7_11__929860717.tgf,259,2468,0.0367913,2,6,1,254.0,254
67,2015,2015/testset4_st_small/558101__300__9_9_15__376852946.tgf,300,2907,0.0323,2,6,1,295.0,295
68,2015,2015/testset4_st_small/689751__162__2_2_3__207723927.tgf,162,2184,0.083219,2,6,1,157.0,157
69,2015,2015/testset4_st_small/7648195__290__4_4_5__217211397.tgf,290,4164,0.0495125,2,6,1,285.0,285
70,2015,2015/testset4_st_small/857884__293__1_1_2__851168499.tgf,293,4271,0.0497501,2,5,1,289.0,289
71,2015,2015/testset4_st_small/876882__287__2_2_4__1987328938.tgf,287,4121,0.050031,2,6,1,282.0,282
72,2015,2015/testset3_gr_large/g_11576075__7191__1_1_1__82730612.tgf,7191,516557,0.00998941,3,305,1,6887.0,6887
73,2015,2015/testset3_gr_large/g_11608515__6142__1_1_1__859624173.tgf,6142,376837,0.00998927,3,394,1,5749.0,5749
74,2015,2015/testset3_gr_large/g_11687398__6961__1_1_1__818925919.tgf,6961,484827,0.0100056,3,469,1,6493.0,6493
75,2015,2015/testset3_gr_large/g_11722506__4872__1_1_1__1996514246.tgf,4872,236573,0.00996668,3,341,1,4532.0,4532
76,2015,2015/testset3_gr_large/g_13686942__7861__1_1_1__885986521.tgf,7861,618631,0.010011,4,367,2,3748.0,7495
77,2015,2015/testset3_gr_large/g_14698925__6977__1_1_1__635433139.tgf,6977,485319,0.00996988,3,443,1,6535.0,6535
78,2015,2015/testset3_gr_large/g_15283768__7242__1_1_1__1057905053.tgf,7242,525433,0.0100184,3,410,1,6833.0,6833
79,2015,2015/testset3_gr_large/g_15405159__8402__1_1_1__277006789.tgf,8402,705609,0.00999537,3,463,1,7940.0,7940
80,2015,2015/testset3_gr_large/g_15761268__7521__1_1_1__1253564987.tgf,7521,566615,0.010017,3,573,1,6949.0,6949
81,2015,2015/testset3_gr_large/g_15792991__7833__1_1_1__1804928876.tgf,7833,615188,0.0100266,3,754,1,7080.0,7080
82,2015,2015/testset3_gr_large/g_15806306__8366__1_1_1__694814714.tgf,8366,699105,0.00998865,3,503,1,7864.0,7864
83,2015,2015/testset3_gr_large/g_17299814__7318__1_1_1__208051347.tgf,7318,536495,0.010018,3,881,1,6438.0,6438
84,2015,2015/testset3_gr_large/g_20166647__5593__1_1_1__1850025606.tgf,5593,313999,0.0100378,3,1267,1,4327.0,4327
85,2015,2015/testset3_gr_large/g_26366506__7746__1_1_1__701580298.tgf,7746,600780,0.0100129,3,1722,1,6025.0,6025
86,2015,2015/testset3_gr_large/g_26415883__5774__1_1_1__1569596511.tgf,5774,333305,0.00999743,3,423,1,5352.0,5352
87,2015,2015/testset3_gr_large/g_26874200__8393__1_1_1__629297877.tgf,8393,705586,0.0100165,3,347,1,8047.0,8047
88,2015,2015/testset3_gr_large/g_35415567__9473__1_1_1__1862760027.tgf,9473,897131,0.00999726,3,436,1,9038.0,9038
89,2015,2015/testset3_gr_large/g_36072150__6499__1_1_1__1197674094.tgf,6499,422526,0.0100037,3,290,1,6210.0,6210
90,2015,2015/testset3_gr_large/g_39785649__9360__1_1_1__860776055.tgf,9360,876229,0.0100015,3,519,1,8842.0,8842
91,2015,2015/testset3_gr_large/g_40158174__6958__1_1_1__209171335.tgf,6958,484397,0.0100054,3,365,1,6594.0,6594
92,2015,2015/testset3_gr_large/g_41618307__6518__1_1_1__656262855.tgf,6518,424426,0.00999018,3,433,1,6086.0,6086
93,2015,2015/testset3_gr_large/g_41634197__8548__1_1_1__27153038.tgf,8548,731576,0.0100122,3,592,1,7957.0,7957
94,2015,2015/testset3_gr_large/g_8881847__6219__1_1_1__1502451786.tgf,6219,387071,0.0100081,3,562,1,5658.0,5658
95,2015,2015/testset3_gr_large/g_8978008__5013__1_1_1__2005674269.tgf,5013,251214,0.00999651,3,370,1,4644.0,4644
96,2015,2015/testset9_scc_large/10999075__461_395__24_24_324__237573662.tgf,461,1361,0.00640407,6,395,42,2.57143,4
97,2015,2015/testset9_scc_large/14974572__457_345__0_20_222__-780398811.tgf,457,1126,0.00539146,6,345,41,3.73171,11
98,2015,2015/testset9_scc_large/1627996__755_46__0_3_12__1893213173.tgf,755,15386,0.0269918,22,46,46,16.413,25
99,2015,2015/testset9_scc_large/1753793__671_617__4_4_18__-1363490400.tgf,671,2783,0.00618113,7,617,36,2.5,4
100,2015,2015/testset9_scc_large/1758658__795_42__0_2_7__-1202098545.tgf,795,17074,0.0270148,16,42,42,18.9286,31
101,2015,2015/testset9_scc_large/1818982__769_48__0_4_190__1676631657.tgf,769,14840,0.0250947,21,48,48,16.0208,22
102,2015,2015/testset9_scc_large/1828893__778_49__0_1_6__365380386.tgf,778,15656,0.0258655,22,49,49,15.8776,25
103,2015,2015/testset9_scc_large/1879197__595_301__192_192_5274__794362872.tgf,595,2772,0.00782996,15,301,46,7.3913,32
104,2015,2015/testset9_scc_large/19040260__507_416__16_16_90__-575628667.tgf,507,4103,0.0159619,9,416,68,2.33824,4
105,2015,2015/testset9_scc_large/1925487__837_38__0_1_3__398360463.tgf,837,19257,0.0274877,17,38,38,22.0263,32
106,2015,2015/testset9_scc_large/20655198__374_290__44_44_495__-1683228409.tgf,374,1525,0.0109025,7,290,34,3.47059,8
107,2015,2015/testset9_scc_large/2192374__868_42__0_2_6__197381139.tgf,868,20942,0.0277958,14,42,42,20.6667,30
108,2015,2015/testset9_scc_large/2195931__853_18__0_1_1__-668245284.tgf,853,33937,0.0466418,11,18,18,47.3889,59
109,2015,2015/testset9_scc_large/2359690__847_47__0_1_1__-258502807.tgf,847,17933,0.0249969,17,47,47,18.0213,29
110,2015,2015/testset9_scc_large/2721694__940_26__0_1_1__-760920955.tgf,940,30277,0.0342655,12,26,26,36.1538,54
111,2015,2015/testset9_scc_large/2912543__960_42__0_1_2__1906904342.tgf,960,22977,0.0249316,14,42,42,22.8571,34
112,2015,2015/testset9_scc_large/2920382__996_26__0_1_1__1797378811.tgf,996,32649,0.0329118,9,26,26,38.3077,55
113,2015,2015/testset9_scc_large/2989651__481_1__0_1_1__490287363.tgf,481,115517,0.499293,1,1,1,481.0,481
114,2015,2015/testset9_scc_large/3003520__935_5__0_1_1__-1788351828.tgf,935,109390,0.125128,3,5,5,187.0,210
115,2015,2015/testset9_scc_large/3051610__939_31__0_1_2__-525845145.tgf,939,27111,0.0307478,11,31,31,30.2903,44
116,2015,2015/testset9_scc_large/3203497__489_1__0_1_1__-696922705.tgf,489,119558,0.49999,1,1,1,489.0,489
117,2015,2015/testset9_scc_large/6319065__992_3__0_1_2__897035661.tgf,992,186509,0.189529,2,3,3,330.667,359
118,2015,2015/testset9_scc_large/6512808__964_852__8_8_54__1356115866.tgf,964,4406,0.00474122,7,852,62,2.80645,7
119,2015,2015/testset9_scc_large/7663198__583_1__0_1_1__539330174.tgf,583,170189,0.500719,1,1,1,583.0,583
120,2015,2015/testset5_st_medium/120071__400__1_2_3__68.tgf,400,3799,0.0237438,2,31,1,370.0,370
121,2015,2015/testset5_st_medium/120124__400__1_1_2__77.tgf,400,3836,0.023975,2,20,1,381.0,381
122,2015,2015/testset5_st_medium/120151__400__2_2_4__11.tgf,400,5395,0.0337187,6,41,3,120.667,345
123,2015,2015/testset5_st_medium/120189__400__5_5_7__68.tgf,400,5419,0.0338687,6,32,3,123.667,363
124,2015,2015/testset5_st_medium/120283__400__5_5_7__38.tgf,400,5411,0.0338188,4,19,2,191.5,345
125,2015,2015/testset5_st_medium/120304__400__0_1_1__11.tgf,400,3837,0.0239813,3,29,1,372.0,372
126,2015,2015/testset5_st_medium/120323__400__0_1_1__55.tgf,400,5621,0.0351312,2,21,1,380.0,380
127,2015,2015/testset5_st_medium/120336__400__0_1_1__67.tgf,400,5635,0.0352187,4,23,2,189.5,372
128,2015,2015/testset5_st_medium/131311__400__1_1_2__13.tgf,400,5451,0.0340687,2,41,1,360.0,360
129,2015,2015/testset5_st_medium/136355__400__0_1_1__21.tgf,400,5567,0.0347937,2,31,1,370.0,370
130,2015,2015/testset5_st_medium/136916__400__2_4_7__18.tgf,400,5509,0.0344312,6,32,3,123.667,353
131,2015,2015/testset5_st_medium/142989__400__6_6_8__78.tgf,400,3747,0.0234188,2,40,1,361.0,361
132,2015,2015/testset5_st_medium/143482__400__2_2_3__88.tgf,400,3780,0.023625,3,22,1,379.0,379
133,2015,2015/testset5_st_medium/143667__400__4_4_6__37.tgf,400,3756,0.023475,2,20,1,381.0,381
134,2015,2015/testset5_st_medium/153075__400__2_2_3__79.tgf,400,5592,0.03495,2,21,1,380.0,380
135,2015,2015/testset5_st_medium/153148__400__3_3_6__22.tgf,400,3779,0.0236188,3,32,1,369.0,369
136,2015,2015/testset5_st_medium/175963__400__3_4_5__25.tgf,400,5460,0.034125,2,40,1,361.0,361
137,2015,2015/testset5_st_medium/182202__400__2_2_3__5.tgf,400,3840,0.024,2,21,1,380.0,380
138,2015,2015/testset5_st_medium/187213__400__4_4_6__55.tgf,400,3747,0.0234188,2,21,1,380.0,380
139,2015,2015/testset5_st_medium/189903__400__1_1_2__58.tgf,400,3748,0.023425,4,29,2,186.5,362
140,2015,2015/testset5_st_medium/190362__400__2_2_3__54.tgf,400,5756,0.035975,2,21,1,380.0,380
141,2015,2015/testset5_st_medium/192775__400__3_4_5__38.tgf,400,3768,0.02355,3,31,1,370.0,370
142,2015,2015/testset5_st_medium/192918__400__2_2_3__66.tgf,400,3790,0.0236875,2,20,1,381.0,381
143,2015,2015/testset5_st_medium/194039__400__3_3_5__66.tgf,400,5589,0.0349312,2,30,1,371.0,371
144,2015,2015/testset1_gr_small/g_101552__1909__1_1_1__882760067.tgf,1909,36680,0.0100651,3,245,1,1665.0,1665
145,2015,2015/testset1_gr_small/g_108578__1880__1_1_1__1927273238.tgf,1880,35559,0.0100608,3,302,1,1579.0,1579
146,2015,2015/testset1_gr_small/g_118687__2223__1_1_1__420333329.tgf,2223,49564,0.0100297,3,350,1,1874.0,1874
147,2015,2015/testset1_gr_small/g_139216__2511__1_1_1__394551800.tgf,2511,62774,0.00995603,3,472,1,2040.0,2040
148,2015,2015/testset1_gr_small/g_1524167__4166__1_1_1__1420739094.tgf,4166,172890,0.00996165,3,658,1,3509.0,3509
149,2015,2015/testset1_gr_small/g_169985__2033__1_1_1__1063588833.tgf,2033,41433,0.0100247,3,285,1,1749.0,1749
150,2015,2015/testset1_gr_small/g_225058__2636__1_1_1__233605874.tgf,2636,68860,0.00991006,3,393,1,2244.0,2244
151,2015,2015/testset1_gr_small/g_236028__2696__1_1_1__1295870562.tgf,2696,72802,0.0100162,3,739,1,1958.0,1958
152,2015,2015/testset1_gr_small/g_244898__2743__1_1_1__1043095631.tgf,2743,75085,0.00997933,3,246,1,2498.0,2498
153,2015,2015/testset1_gr_small/g_316863__2943__1_1_1__1909914641.tgf,2943,86636,0.0100027,3,389,1,2555.0,2555
154,2015,2015/testset1_gr_small/g_325485__2631__1_1_1__1679363424.tgf,2631,68937,0.00995888,3,310,1,2322.0,2322
155,2015,2015/testset1_gr_small/g_326740__2846__1_1_1__856847380.tgf,2846,81536,0.0100665,3,340,1,2507.0,2507
156,2015,2015/testset1_gr_small/g_34388__1224__1_1_1__1618570817.tgf,1224,14843,0.00990738,3,254,1,971.0,971
157,2015,2015/testset1_gr_small/g_37371__1315__1_1_1__13936662.tgf,1315,17303,0.0100062,3,331,1,985.0,985
158,2015,2015/testset1_gr_small/g_37710__1278__1_1_1__1301640185.tgf,1278,16335,0.0100013,3,231,1,1048.0,1048
159,2015,2015/testset1_gr_small/g_40398__1624__1_1_1__1406182594.tgf,1624,26592,0.0100827,3,256,1,1369.0,1369
160,2015,2015/testset1_gr_small/g_40400__1866__1_1_1__2110861149.tgf,1866,35042,0.0100639,3,465,1,1402.0,1402
161,2015,2015/testset1_gr_small/g_482638__3144__1_1_1__1117360409.tgf,3144,98869,0.0100022,3,577,1,2568.0,2568
162,2015,2015/testset1_gr_small/g_483143__2797__1_1_1__1544035168.tgf,2797,78550,0.0100406,3,190,1,2608.0,2608
163,2015,2015/testset1_gr_small/g_744390__3740__1_1_1__867341271.tgf,3740,140457,0.0100415,3,537,1,3204.0,3204
164,2015,2015/testset1_gr_small/g_808769__3600__1_1_1__1535552993.tgf,3600,129579,0.00999838,3,239,1,3362.0,3362
165,2015,2015/testset1_gr_small/g_832400__3589__1_1_1__53785996.tgf,3589,129312,0.010039,3,317,1,3273.0,3273
166,2015,2015/testset1_gr_small/g_844869__3737__1_1_1__328671792.tgf,3737,140189,0.0100385,3,386,1,3352.0,3352
167,2015,2015/testset1_gr_small/g_962561__3713__1_1_1__853528170.tgf,3713,138560,0.0100505,3,355,1,3359.0,3359
168,2015,2015/testset8_scc_medium/1004485__826_8__0_1_4__-1244770945.tgf,826,50446,0.0739378,4,8,8,103.25,116
169,2015,2015/testset8_scc_medium/1066801__777_18__0_4_9__1685411540.tgf,777,11792,0.0195319,2,18,18,43.1667,67
170,2015,2015/testset8_scc_medium/1182638__754_34__0_1_2__188042652.tgf,754,17115,0.0301047,13,34,34,22.1765,32
171,2015,2015/testset8_scc_medium/1187240__311_65__0_5_3916__1661971321.tgf,311,2841,0.0293731,23,65,56,5.39286,15
172,2015,2015/testset8_scc_medium/1251262__780_20__0_1_2__-81345856.tgf,780,25676,0.0422025,10,20,20,39.0,45
173,2015,2015/testset8_scc_medium/141744__500_14__0_1_1__1497926930.tgf,500,12114,0.048456,5,14,14,35.7143,50
174,2015,2015/testset8_scc_medium/147754__315_2__2_2_4__2000466022.tgf,315,27352,0.275656,2,2,2,157.5,174
175,2015,2015/testset8_scc_medium/149836__393_63__0_2_44__1706985912.tgf,393,4071,0.0263582,27,63,56,6.89286,17
176,2015,2015/testset8_scc_medium/153111__499_16__0_4_18__-1668271218.tgf,499,11808,0.0474215,6,16,16,31.1875,40
177,2015,2015/testset8_scc_medium/176544__442_39__0_2_6__-1119795536.tgf,442,5634,0.0288385,17,39,39,11.3333,19
178,2015,2015/testset8_scc_medium/176618__243_1__0_1_1__-528315330.tgf,243,29366,0.497316,1,1,1,243.0,243
179,2015,2015/testset8_scc_medium/177161__455_4__0_1_3__-1069061722.tgf,455,28396,0.137162,3,4,4,113.75,123
180,2015,2015/testset8_scc_medium/507634__636_34__0_3_20__2007880049.tgf,636,11867,0.0293377,10,34,34,18.7059,30
181,2015,2015/testset8_scc_medium/515617__417_50__0_3_1011__-972170922.tgf,417,4671,0.026862,19,50,49,8.4898,16
182,2015,2015/testset8_scc_medium/517683__679_12__0_1_4__1310307751.tgf,679,26096,0.0566023,4,12,12,56.5833,69
183,2015,2015/testset8_scc_medium/548783__649_27__0_1_1__-724323804.tgf,649,14109,0.0334971,11,27,27,24.037,30
184,2015,2015/testset8_scc_medium/604344__458_39__0_8_1297__1654901794.tgf,458,5947,0.0283509,19,39,37,12.3243,22
185,2015,2015/testset8_scc_medium/619832__652_13__0_1_2__-650582955.tgf,652,25347,0.0596254,6,13,13,50.1538,68
186,2015,2015/testset8_scc_medium/725443__490_2__0_1_1__-554970472.tgf,490,66224,0.275818,2,2,2,245.0,246
187,2015,2015/testset8_scc_medium/826149__351_1__0_1_1__-2107104421.tgf,351,61199,0.496741,1,1,1,351.0,351
188,2015,2015/testset8_scc_medium/853046__696_686__8_8_27__1212478239.tgf,696,736,0.00151936,3,686,10,2.0,2
189,2015,2015/testset8_scc_medium/874460__733_24__0_2_9__2021310947.tgf,733,19049,0.0354539,9,24,24,30.5417,42
190,2015,2015/testset8_scc_medium/940270__703_28__0_1_2__1173096395.tgf,703,16700,0.0337914,13,28,28,25.1071,34
191,2015,2015/testset8_scc_medium/971739__757_14__0_1_1__1361260072.tgf,757,29035,0.0506676,6,14,14,54.0714,63
0,2017,2017/T/3/admbuster_100000.tgf,100000,149998,0.000106377,1,100000,0,0.0,1
1,2017,2017/T/3/admbuster_50000.tgf,50000,74998,3e-05,1,50000,0,0.0,1
2,2017,2017/T/3/afinput_exp_acyclic_depvary_step6_batch_yyy04.tgf,574,310341,0.941923,3,17,1,558.0,558
3,2017,2017/T/3/afinput_exp_acyclic_indvary1_step2_batch_yyy09.tgf,812,644253,0.977112,3,9,1,804.0,804
4,2017,2017/T/3/afinput_exp_cycles_depvary_step3_batch_yyy08.tgf,621,375128,0.972739,3,10,1,612.0,612
5,2017,2017/T/3/afinput_exp_cycles_depvary_step4_batch_yyy04.tgf,642,399617,0.969558,3,12,1,631.0,631
6,2017,2017/T/3/afinput_exp_cycles_depvary_step4_batch_yyy05.tgf,665,428030,0.967901,3,15,1,651.0,651
7,2017,2017/T/3/afinput_exp_cycles_indvary1_step1_batch_yyy02.tgf,577,321302,0.965077,3,9,1,569.0,569
8,2017,2017/T/3/afinput_exp_cycles_indvary1_step1_batch_yyy03.tgf,475,218439,0.968151,3,6,1,470.0,470
9,2017,2017/T/3/afinput_exp_cycles_indvary1_step2_batch_yyy01.tgf,619,373513,0.97482,3,10,1,610.0,610
10,2017,2017/T/3/afinput_exp_cycles_indvary1_step3_batch_yyy02.tgf,556,299028,0.967302,3,10,1,547.0,547
11,2017,2017/T/3/afinput_exp_cycles_indvary2_step1_batch_yyy03.tgf,639,395445,0.968466,3,16,1,624.0,624
12,2017,2017/T/3/afinput_exp_cycles_indvary2_step1_batch_yyy04.tgf,691,456389,0.955827,3,18,1,674.0,674
13,2017,2017/T/3/afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,691,449360,0.941105,3,23,1,669.0,669
14,2017,2017/T/3/aircoach_20130716_1324.gml.50.tgf,66,113,0.0259412,6,27,11,4.54545,12
15,2017,2017/T/3/anaheim-resort-transportation_20151217_1213.gml.50.tgf,81,171,0.0260631,4,20,11,6.54545,48
16,2017,2017/T/3/BA_100_40_5.tgf,101,141,0.0138222,7,60,17,3.41176,20
17,2017,2017/T/3/BA_100_70_3.tgf,101,170,0.016665,4,31,4,18.5,44
18,2017,2017/T/3/BA_120_40_2.tgf,121,169,0.0115429,5,72,15,4.26667,22
19,2017,2017/T/3/BA_120_60_2.tgf,121,193,0.0131822,5,48,10,8.3,57
20,2017,2017/T/3/BA_140_30_3.tgf,141,183,0.00920477,6,98,24,2.79167,9
21,2017,2017/T/3/BA_180_30_4.tgf,181,235,0.00717316,5,126,17,4.23529,29
22,2017,2017/T/3/BA_180_30_5.tgf,181,235,0.00717316,8,126,22,3.5,17
23,2017,2017/T/3/BA_60_90_4.tgf,61,115,0.0309057,3,6,4,14.75,44
24,2017,2017/T/3/BA_80_60_5.tgf,81,129,0.0196616,5,32,10,5.9,28
25,2017,2017/T/3/BA_80_70_2.tgf,81,136,0.0207285,5,25,8,8.0,34
26,2017,2017/T/3/BA_80_70_5.tgf,81,136,0.0207285,5,25,7,9.0,22
27,2017,2017/T/3/bw2.pfile-3-04.pddl.2.cnf.tgf,958,1960,0.00213563,49,745,74,3.87838,24
28,2017,2017/T/3/bw2.pfile-3-06.pddl.2.cnf.tgf,825,1680,0.00246832,53,717,58,2.86207,39
29,2017,2017/T/3/bw2.pfile-3-07.pddl.2.cnf.tgf,160,284,0.0110937,17,121,27,2.44444,14
30,2017,2017/T/3/bw3.pfile-3-03.pddl.2.cnf.tgf,490,946,0.00394002,35,379,37,4.0,40
31,2017,2017/T/3/el-dorado-transit_20151217_1024.gml.20.tgf,139,270,0.0139744,6,63,15,6.06667,36
